Source	Target	weight
group_112	sp-P62591-INT2_PSEAI	2.57552e-11
group_112	group_213	5.00093e-14
group_112	group_254	1.639e-08
group_112	sp-P06694-TNP2_ECOLX	1.26796e-12
group_112	group_78	2.55776e-13
group_112	group_597	3.00791e-11
group_112	sp-P26837-YPS1_ECOLX	6.34061e-12
group_112	sp-P0A043-T431_STAAM~~~sp-P0A045-T431_STAAW	6.07229e-10
group_112	sp-Q49184-DHP1_MYCFO	3.00791e-11
group_112	group_600	1.41095e-11
group_112	group_400	6.65843e-11
group_112	group_227	1.41095e-11
group_112	group_527	1.46922e-10
group_112	group_494	6.42566e-12
group_112	sp-P0AA23-EBR_SALTM	1.46922e-10
group_112	group_598	3.3528e-10
group_112	sp-P0C1L0-T431_STAA8	6.97186e-11
group_112	sp-P78218-DYR15_ECOLX~~~sp-P11731-DYR5_ECOLX	1.54921e-09
group_115	group_233	6.33053e-08
group_115	group_284	1.44482e-07
group_115	group_264	1.48663e-08
group_115	group_4	1.48663e-08
group_115	group_277	2.86866e-09
group_115	group_498	1.1184e-08
group_115	group_125	6.21741e-09
group_115	group_224	1.65346e-07
group_115	group_282	7.03714e-09
group_115	group_590	4.25571e-10
group_115	group_269	1.44949e-08
group_115	sp-P77515-STFQ_ECOLI~~~sp-P76072-STFR_ECOLI	4.78647e-07
group_115	sp-Q79E92-YKGN_ECOLI	4.78647e-07
group_117	group_291	6.09874e-07
group_121	group_608	4.35539e-09
group_121	sp-P15026-ISTB_PSEAI	4.35539e-09
group_121	sp-Q45618-TRA6_GEOSE	4.35539e-09
group_121	sp-Q45618-TRA6_GEOSE~~~sp-P15026-ISTB_PSEAI	4.35539e-09
group_121	group_607	1.70958e-08
group_121	group_566	2.84499e-09
group_121	group_410	2.84499e-09
group_121	group_397	2.84499e-09
group_121	group_349	2.84499e-09
group_121	group_285	2.84499e-09
group_121	sp-C0SP84-YTLA_BACSU	2.84499e-09
group_121	group_263	2.84499e-09
group_121	sp-P07620-PARA_ECOLX	2.84499e-09
group_121	sp-P37415-YTL2_SALTY	2.84499e-09
group_121	sp-Q9S4X2-YUBD_ECOLI	2.84499e-09
group_121	sp-Q47688-YKFC_ECOLI	2.84499e-09
group_121	sp-Q52563-STBA_PSEUB	2.84499e-09
group_121	group_226	2.84499e-09
group_121	sp-O82898-YUBF_ECO57	2.84499e-09
group_121	sp-P23832-SAMB_SALTM	2.84499e-09
group_121	group_208	2.84499e-09
group_121	group_198	2.84499e-09
group_121	group_191	2.84499e-09
group_121	group_188	2.84499e-09
group_121	sp-Q9S4X1-YUBE_ECOLI	2.84499e-09
group_121	sp-P0A248-VIRB_SHISO	2.84499e-09
group_121	group_178	2.84499e-09
group_121	sp-P80011-TRA3_RHIME~~~sp-P55620-Y4PO_SINFN	2.84499e-09
group_121	sp-P55615-Y4PF_SINFN~~~sp-Q9HI37-TPF20_PSEAE	2.84499e-09
group_121	group_85	2.84499e-09
group_121	group_82	2.84499e-09
group_121	sp-P76072-STFR_ECOLI~~~sp-P77515-STFQ_ECOLI	2.84499e-09
group_121	group_24	2.84499e-09
group_121	group_6	2.84499e-09
group_121	group_549	1.83273e-09
group_121	group_447	1.83273e-09
group_121	sp-O82899-YUBG_ECO57~~~sp-Q9S4W9-YUBG_ECOLI	1.83273e-09
group_121	sp-P26949-CAF1A_YERPE	1.83273e-09
group_121	group_274	1.13204e-08
group_121	sp-P59696-T200_SALTY	1.83273e-09
group_121	group_241	1.83273e-09
group_121	sp-P76155-TFAQ_ECOLI	1.83273e-09
group_121	group_234	1.83273e-09
group_121	sp-P26948-CAF1_YERPE	1.83273e-09
group_121	sp-P26926-CAF1M_YERPE	1.83273e-09
group_121	sp-P26950-CAF1R_YERPE	1.83273e-09
group_121	sp-Q1CC63-YUBL_YERPN	1.83273e-09
group_121	sp-Q9ZGR8-YUBM_ECO57	1.83273e-09
group_121	group_523	1.16343e-09
group_121	sp-Q1RK58-PLD_RICBR	1.70443e-07
group_121	group_500	3.85022e-14
group_121	group_546	4.23767e-12
group_121	sp-A9R2J1-XNI_YERPG	4.23767e-12
group_122	group_233	1.02347e-07
group_122	group_284	3.20965e-07
group_122	group_264	2.16806e-07
group_122	group_4	2.16806e-07
group_122	group_277	7.39269e-09
group_122	group_194	2.95988e-07
group_122	group_125	2.74686e-10
group_122	group_224	1.18354e-07
group_122	group_282	4.55362e-09
group_122	group_590	2.24688e-07
group_122	group_269	1.37458e-08
group_125	group_233	1.23973e-11
group_125	group_284	2.58125e-11
group_125	group_264	1.36169e-11
group_125	group_4	1.36169e-11
group_125	group_277	1.95454e-13
group_125	group_498	5.46497e-11
group_125	group_194	4.18677e-10
group_125	group_224	1.27194e-11
group_125	group_300	1.25872e-08
group_125	group_282	2.59839e-13
group_125	group_590	1.01889e-11
group_125	group_269	4.24559e-12
group_125	sp-P77515-STFQ_ECOLI~~~sp-P76072-STFR_ECOLI	1.0977e-09
group_125	group_223	7.3555e-07
group_125	sp-P33342-YEHC_ECOLI	7.3555e-07
