Source	Target	p	successes	observations	rate	expected	total source	total target	fraction source	fraction target
group_179	group_51	2.32955e-43	210	226	0.507518	115	89	121	0.393805	0.535398
group_179	group_90	2.03011e-54	220	226	0.516916	117	89	131	0.393805	0.579646
group_18	group_21	8.17576e-11	166	226	0.52463	119	130	76	0.575221	0.336283
group_18	group_261	5.58372e-07	142	226	0.464719	105	130	166	0.575221	0.734513
group_18	group_275	2.97701e-24	186	226	0.498003	113	130	116	0.575221	0.513274
group_18	group_31	2.44392e-07	154	226	0.513979	116	130	92	0.575221	0.40708
group_18	group_622	5.58372e-07	142	226	0.464719	105	130	166	0.575221	0.734513
group_18	group_90	1.41628e-09	155	226	0.488018	110	130	131	0.575221	0.579646
group_195	group_228	2.84705e-07	179	226	0.636189	144	66	187	0.292035	0.827434
group_195	group_264	2.84705e-07	179	226	0.636189	144	66	187	0.292035	0.827434
group_195	group_265	2.84705e-07	179	226	0.636189	144	66	187	0.292035	0.827434
group_195	group_267	9.47633e-08	180	226	0.634349	143	66	186	0.292035	0.823009
group_195	group_42	4.68897e-07	178	226	0.634349	143	66	186	0.292035	0.823009
group_195	group_585	4.81024e-07	131	226	0.415342	94	66	67	0.292035	0.29646
group_202	group_261	3.31786e-34	218	226	0.626596	142	52	166	0.230088	0.734513
group_202	group_31	1.14079e-08	144	226	0.449839	102	52	92	0.230088	0.40708
group_202	group_32	1.22355e-12	200	226	0.683922	155	52	190	0.230088	0.840708
group_202	group_622	3.31786e-34	218	226	0.626596	142	52	166	0.230088	0.734513
group_21	group_579	1.08197e-06	145	226	0.482614	109	76	101	0.336283	0.446903
group_21	group_60	3.94628e-10	148	226	0.449291	102	76	78	0.336283	0.345133
group_21	group_84	5.37361e-08	162	226	0.542016	122	76	142	0.336283	0.628319
group_211	group_621	1.84561e-07	189	226	0.685606	155	34	173	0.150442	0.765487
group_224	group_261	1.02642e-28	214	226	0.634897	143	48	166	0.212389	0.734513
